Galaxy Type,Rotation Curve Shape,Environment,Redshift,Baryonic Mass (Msun),Surface Brightness (mag/arcsec^2),Velocity Dispersion (km/s),HI Line Width (km/s),Outer Curve Slope,Mass-to-Light Ratio,Halo Concentration,Lensing Shear |gamma|,Gas Fraction,Stellar Age (Gyr),Metallicity [Fe/H],Environment Density,TF Residual (mag),Dark Matter Detected
Spiral,Declining,Void,0.0944,56561693750.08985,21.907702289843645,229.1132283947269,154.53316596110227,-0.0120943769977318,6.612435848171524,6.744551232844205,0.0241634067433224,0.3982424414921569,4.732681965905561,-0.0239477323102491,0.0,0.0817863306642685,0
Lenticular,Rising,Group,0.0024,20641347430.399643,21.635824874672,139.35764214661316,112.84929697958482,-0.000778736859005,2.0789519707741952,10.319601007918214,0.0261139558313245,0.0360207517253545,5.745920008418699,0.1021466676510855,0.4669584915480866,-0.1505219114256125,0
Lenticular,Flat,Field,0.0674,138428744853.71286,19.9247388408988,20.0,162.09231962437445,0.2576768647705184,7.188810332589925,9.957997106239278,0.0010663324859107,0.1722472400043991,8.863494789394782,0.1003107973927556,0.1210510706523325,-0.0282710115560345,0
Elliptical,Rising,Group,0.0356,8472125794.000314,22.05559516501517,52.62143541830636,268.9886962319215,0.0727883909877632,10.218893614959686,7.86739018106605,0.0081462928108364,0.132051011415456,1.9405649772280391,0.0336246725368273,0.5185687125210194,0.0616456663545017,0
Irregular,Flat,Field,0.0138,2905254120.9836054,20.460898467684085,182.19447324108543,201.70824746656564,-0.3679433227138414,15.079315802988836,12.198494937157072,0.0045661756327693,0.4522408384937557,8.571328103208495,0.1132784036805179,0.2001601613591508,-0.2461101915430236,0
Spiral,Declining,Group,0.0469,12170963291.507612,23.891219078158688,105.16660473253953,187.3100152341888,-0.2002177622120771,6.736541052028534,10.16507674390304,0.0448115015537541,0.2719269492157155,12.980513115499594,-0.2004990020693092,0.5492761959636527,0.1145008271297399,0
Elliptical,Declining,Void,0.0454,7266487341.871199,19.54246006772759,146.21303898316714,40.6902653272582,-0.0708829550818258,8.355992509171989,12.818103017420082,0.0125357188061826,0.0902340679745112,9.25063097262186,-0.2841943039372005,0.023900794791566,0.0070464294449246,0
Irregular,Declining,Group,0.0776,22733212096.141155,21.336597805330072,97.0472318682818,132.6641547671581,-0.0614985271679957,1.865815210985538,9.875185222534368,0.0231461365003624,0.3907508877858603,7.675596495252635,-0.0082508707274567,0.4464757345281203,-0.0247798738695655,0
Spiral,Flat,Cluster,0.1494,2853393138.5559263,23.359763260672874,136.47520470135495,214.07720990537925,-0.0202065052496254,4.323824601592675,9.537844091136847,0.0004518168821937,0.4438831973452898,6.998028328514328,-0.3663131511196974,1.0072200486250804,-0.0143751749464285,0
Elliptical,Rising,Cluster,0.0053,64511539747.50272,22.50136034158319,137.55395266541717,264.0093758112511,0.1314764107443031,5.713412206888253,9.613676294827997,0.0167605834769846,0.3791936716234431,13.5,0.3532257780922,0.9979184773684672,0.0920378274017063,0
Irregular,Rising,Void,0.0127,15315918309.934025,19.990695743566107,141.00629160121085,178.9794514445697,-0.0020034360285606,10.207200080840492,11.330772963883373,0.0110673602132769,0.1441715868932093,5.655071031384941,0.3958543589876664,0.0592064559107374,0.0133518380518534,0
Dwarf,Rising,Field,0.0853,3960297593.977168,20.338956348180396,91.08074613595764,369.3870446760287,0.1157188841099555,3.925209815423632,10.913610160910196,0.0037103242503268,0.6713175785420293,8.069962612990246,-0.5508680603071943,0.222214958822941,-0.096563342074846,0
